State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,"Unemployment from Agriculture, forestry and fishing",Unemployment from Mining,Unemployment from Manufacturing,"Unemployment from Electricity, gas, water and waste management",Unemployment from Construction,"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Transport, communications and information services",Unemployment from Financial intermediation,Unemployment from Real estate and housing services,Unemployment from Business services,Unemployment from Personal services,Unemployment from Public administration
"Agriculture, forestry and fishing",0.893142,7e-05,0.001226,6.2e-05,0.001235,0.001438,0.00062,0.000376,8.3e-05,0.001205,0.000552,6.8e-05,0.099924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining,0.000125,0.922101,0.000588,0.000119,0.001795,0.00053,0.000548,0.000567,3.2e-05,0.001757,0.000261,2.2e-05,0.0,0.071555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing,0.00068,0.000187,0.944068,9.7e-05,0.001923,0.001936,0.000572,0.000504,5.2e-05,0.001846,0.000616,3.4e-05,0.0,0.0,0.047485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, gas, water and waste management",0.00026,0.000324,0.000704,0.949367,0.002611,0.000849,0.000775,0.000727,6e-05,0.002261,0.000724,8.5e-05,0.0,0.0,0.0,0.041253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Construction,0.00053,0.000399,0.001651,0.000294,0.890214,0.001127,0.00085,0.000531,0.000267,0.003676,0.000761,8.6e-05,0.0,0.0,0.0,0.0,0.099614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wholesale and retail trade, accommodation and food services",0.000397,9.7e-05,0.000989,5.8e-05,0.000766,0.942292,0.000702,0.000567,0.000101,0.001734,0.000842,5.3e-05,0.0,0.0,0.0,0.0,0.0,0.051403,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, communications and information services",0.000347,0.000154,0.000627,0.000116,0.001115,0.001393,0.947523,0.000791,6.9e-05,0.002181,0.000796,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.044847,0.0,0.0,0.0,0.0,0.0
Financial intermediation,0.000507,0.000276,0.001266,0.00015,0.001388,0.002555,0.001561,0.943667,0.000288,0.002911,0.002328,7.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043024,0.0,0.0,0.0,0.0
Real estate and housing services,0.000412,0.000184,0.000681,9.7e-05,0.003361,0.002603,0.000789,0.001351,0.939904,0.002573,0.002359,6.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045623,0.0,0.0,0.0
Business services,0.000498,0.000395,0.001722,0.00026,0.0029,0.002734,0.001814,0.001085,0.000161,0.925448,0.002215,9.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060676,0.0,0.0
Personal services,0.000207,5.3e-05,0.000526,7.3e-05,0.000618,0.001142,0.000561,0.000638,0.000103,0.00193,0.955438,0.000211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038501,0.0
Public administration,0.000233,3.7e-05,0.000219,7.3e-05,0.000647,0.000598,0.000241,0.000218,2.7e-05,0.00074,0.002509,0.959161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035298
"Unemployment from Agriculture, forestry and fishing",0.073507,0.000191,0.003853,0.000226,0.005564,0.005615,0.001877,0.000337,0.000163,0.003898,0.001718,0.000335,0.902717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Mining,0.001387,0.132659,0.00253,0.000505,0.008933,0.003149,0.002784,0.000602,0.000144,0.007527,0.001383,0.000181,0.0,0.838216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Manufacturing,0.004174,0.000321,0.049166,0.000341,0.009511,0.009185,0.002971,0.000601,0.000247,0.008227,0.003092,0.000257,0.0,0.0,0.911906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Electricity, gas, water and waste management",0.00254,0.000691,0.003633,0.053734,0.013999,0.005305,0.00449,0.000867,0.000251,0.009822,0.003018,0.000358,0.0,0.0,0.0,0.901293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Construction,0.002897,0.000605,0.004677,0.000621,0.08162,0.004412,0.002801,0.000421,0.000433,0.008615,0.002409,0.000345,0.0,0.0,0.0,0.0,0.890143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Wholesale and retail trade, accommodation and food services",0.002319,0.000169,0.003614,0.000211,0.003734,0.050074,0.002676,0.000814,0.000296,0.006931,0.003634,0.000278,0.0,0.0,0.0,0.0,0.0,0.925248,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Transport, communications and information services",0.001977,0.00034,0.002756,0.000392,0.00539,0.006368,0.052191,0.00101,0.000245,0.008125,0.003119,0.000237,0.0,0.0,0.0,0.0,0.0,0.0,0.91785,0.0,0.0,0.0,0.0,0.0
Unemployment from Financial intermediation,0.001158,0.000196,0.00173,0.000177,0.002626,0.005474,0.002809,0.055668,0.000614,0.007509,0.004119,0.000261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917659,0.0,0.0,0.0,0.0
Unemployment from Real estate and housing services,0.001615,0.000191,0.002339,0.000207,0.008428,0.007438,0.002246,0.001868,0.030843,0.007545,0.004641,0.000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932343,0.0,0.0,0.0
Unemployment from Business services,0.002063,0.000507,0.004038,0.000448,0.008837,0.008352,0.004151,0.001401,0.000385,0.051297,0.006059,0.000355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912106,0.0,0.0
Unemployment from Personal services,0.000995,0.000102,0.001561,0.00015,0.002806,0.004413,0.001695,0.000716,0.000257,0.006392,0.042808,0.000617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937488,0.0
Unemployment from Public administration,0.001468,9.8e-05,0.000993,0.000146,0.003349,0.002641,0.000957,0.000372,0.000131,0.003021,0.005316,0.037068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944439
Entry,0.057091,0.010627,0.089118,0.006602,0.104568,0.204186,0.077256,0.028542,0.007776,0.136378,0.14114,0.013143,0.016669,0.000801,0.010106,0.000515,0.019588,0.027125,0.00719,0.002805,0.000775,0.020769,0.015662,0.001569
